TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train
CHEMBL1000357,0.875,0.8181818181818181,0.0,0.0,0.909+/-0.036
CHEMBL1006568,0.4375,0.417910447761194,0.0,0.0,0.745+/-0.085
CHEMBL1008279,0.25,0.2,0.0,0.0,0.42+/-0.232
CHEMBL1012001,0.6875,0.6875,0.0,0.0,0.795+/-0.075
CHEMBL1018953,0.875,0.8703703703703705,0.0,0.0,0.887+/-0.044
CHEMBL1019290,0.625,0.7142857142857143,0.0,0.0,0.911+/-0.086
CHEMBL1020690,0.375,0.2857142857142857,0.0,0.0,0.975+/-0.079
CHEMBL1024326,0.5625,0.56,0.0,0.0,0.621+/-0.099
CHEMBL1024562,0.3125,0.2,0.0,0.0,0.517+/-0.274
CHEMBL1030449,0.125,0.1388888888888889,0.0,0.0,0.368+/-0.176
CHEMBL1033643,0.4375,0.3333333333333333,0.0,0.0,0.883+/-0.249
CHEMBL1033787,0.5625,0.5263157894736842,0.0,0.0,0.609+/-0.063
CHEMBL1033990,0.625,0.625,0.0,0.0,0.855+/-0.093
CHEMBL1033991,0.4375,0.4067796610169491,0.0,0.0,0.864+/-0.104
CHEMBL1033992,0.8125,0.8571428571428571,0.0,0.0,0.991+/-0.01
CHEMBL1033993,0.875,0.9047619047619048,0.0,0.0,0.999+/-0.003
CHEMBL1033994,0.375,0.3780487804878049,0.0,0.0,0.595+/-0.098
CHEMBL1033996,0.6875,0.6764705882352942,0.0,0.0,0.887+/-0.063
CHEMBL1033999,0.4375,0.409090909090909,0.0,0.0,0.961+/-0.041
CHEMBL1034004,0.6875,0.8,0.0,0.0,0.979+/-0.038
CHEMBL1034017,0.625,0.6111111111111112,0.0,0.0,0.935+/-0.045
CHEMBL1034018,0.75,0.72,0.0,0.0,0.974+/-0.016
CHEMBL1035506,0.75,0.75,0.0,0.0,1.0+/-0.0
CHEMBL1035508,0.8125,0.6666666666666666,0.0,0.0,1.0+/-0.0
CHEMBL1035509,0.8125,0.6666666666666666,0.0,0.0,1.0+/-0.0
CHEMBL1035510,0.8125,0.6666666666666666,0.0,0.0,1.0+/-0.0
CHEMBL1038041,0.5625,0.5833333333333334,0.0,0.0,0.694+/-0.11
CHEMBL1039164,0.4375,0.4242424242424242,0.0,0.0,0.851+/-0.082
CHEMBL1041704,0.875,0.9200000000000002,0.0,0.0,0.976+/-0.028
CHEMBL1041705,0.75,0.7083333333333334,0.0,0.0,0.724+/-0.038
CHEMBL1042518,0.9375,0.8965517241379309,0.0,0.0,0.945+/-0.034
CHEMBL1042767,0.9375,0.9166666666666666,0.0,0.0,0.972+/-0.017
CHEMBL1043900,0.875,0.8333333333333334,0.0,0.0,0.993+/-0.014
CHEMBL1045728,0.4375,0.4166666666666667,0.0,0.0,0.793+/-0.14
CHEMBL1046026,0.3125,0.2857142857142857,0.0,0.0,0.802+/-0.15
CHEMBL1046975,0.1875,0.1428571428571428,0.0,0.0,0.226+/-0.069
CHEMBL1047854,0.1875,0.1538461538461538,0.0,0.0,0.195+/-0.071
CHEMBL1048663,0.4375,0.4545454545454545,0.0,0.0,0.892+/-0.083
CHEMBL1051810,0.3125,0.25,0.0,0.0,0.6+/-0.285
CHEMBL1052565,0.5,0.5384615384615384,0.0,0.0,0.794+/-0.103
CHEMBL1053167,0.8125,0.8666666666666668,0.0,0.0,0.908+/-0.055
CHEMBL1053168,0.5625,0.625,0.0,0.0,0.856+/-0.068
CHEMBL1053306,0.375,0.5,0.0,0.0,0.925+/-0.139
CHEMBL1054757,0.4375,0.4042553191489361,0.0,0.0,0.76+/-0.084
CHEMBL1054762,0.875,0.8620689655172413,0.0,0.0,0.954+/-0.02
CHEMBL1054837,0.9375,0.9375,0.0,0.0,0.927+/-0.042
CHEMBL1055019,0.375,0.5,0.0,0.0,0.9+/-0.175
CHEMBL1056891,0.8125,0.8311688311688312,0.0,0.0,0.889+/-0.024
CHEMBL1058849,0.125,0.1,0.0,0.0,0.17+/-0.05
CHEMBL1059735,0.3125,0.3529411764705882,0.0,0.0,0.596+/-0.093
CHEMBL1061545,0.9375,0.9482758620689656,0.0,0.0,0.953+/-0.03
CHEMBL1063960,0.75,0.75,0.0,0.0,0.727+/-0.049
CHEMBL1067060,0.5,0.5,0.0,0.0,0.644+/-0.1
CHEMBL1067568,0.1875,0.2222222222222222,0.0,0.0,0.394+/-0.156
CHEMBL1068293,0.6875,0.6829268292682927,0.0,0.0,0.752+/-0.055
CHEMBL1071243,0.3125,0.2857142857142857,0.0,0.0,0.651+/-0.187
CHEMBL1100446,0.6875,0.7,0.0,0.0,0.9+/-0.075
CHEMBL1107997,0.625,0.625,0.0,0.0,0.901+/-0.046
CHEMBL1108884,0.5,0.5333333333333333,0.0,0.0,0.963+/-0.031
CHEMBL1109063,0.1875,0.2857142857142857,0.0,0.0,0.767+/-0.156
CHEMBL1109941,0.4375,0.4444444444444445,0.0,0.0,0.939+/-0.023
CHEMBL1111344,0.9375,0.9615384615384616,0.0,0.0,0.996+/-0.001
CHEMBL1111345,0.9375,0.9701492537313432,0.0,0.0,0.985+/-0.008
CHEMBL1115072,0.5625,0.5,0.0,0.0,0.608+/-0.125
CHEMBL1115306,0.1875,0.1111111111111111,0.0,0.0,0.412+/-0.327
CHEMBL1116449,0.8125,0.782608695652174,0.0,0.0,0.899+/-0.059
CHEMBL1116600,0.75,0.6666666666666666,0.0,0.0,1.0+/-0.0
CHEMBL1118335,0.6875,0.75,0.0,0.0,0.872+/-0.144
CHEMBL1167859,0.25,0.2,0.0,0.0,0.305+/-0.091
CHEMBL1176167,0.8125,0.8,0.0,0.0,0.86+/-0.095
CHEMBL1176948,0.625,0.6666666666666666,0.0,0.0,0.899+/-0.076
CHEMBL1176975,0.9375,0.9230769230769232,0.0,0.0,0.99+/-0.009
CHEMBL1177528,0.75,0.7142857142857143,0.0,0.0,0.86+/-0.067
CHEMBL1217314,0.375,0.4444444444444445,0.0,0.0,0.858+/-0.137
CHEMBL1219004,0.0625,0.0666666666666666,0.0,0.0,0.249+/-0.067
CHEMBL1219014,0.0625,0.0714285714285714,0.0,0.0,1.0+/-0.0
CHEMBL1228470,0.6875,0.8,0.0,0.0,0.963+/-0.101
CHEMBL1228542,0.75,0.6666666666666666,0.0,0.0,0.866+/-0.067
CHEMBL1228543,0.625,0.625,0.0,0.0,0.692+/-0.109
CHEMBL1259550,0.625,0.6666666666666666,0.0,0.0,0.983+/-0.053
CHEMBL1259551,0.375,0.5,0.0,0.0,1.0+/-0.0
CHEMBL1259552,0.4375,0.5,0.0,0.0,1.0+/-0.0
CHEMBL1259557,0.5,0.4,0.0,0.0,1.0+/-0.0
CHEMBL1259558,0.4375,0.3333333333333333,0.0,0.0,1.0+/-0.0
CHEMBL1259559,0.4375,0.4,0.0,0.0,0.94+/-0.126
CHEMBL1259560,0.875,0.8,0.0,0.0,0.938+/-0.026
CHEMBL1260089,0.0625,0.1666666666666666,0.0,0.0,0.395+/-0.249
CHEMBL1613983,0.125,0.1150125403081332,0.0,0.0,0.169+/-0.033
CHEMBL1614018,0.6875,0.6875,0.0,0.0,0.759+/-0.037
CHEMBL1614538,0.0625,0.0443097014925373,0.0,0.0,0.147+/-0.086
CHEMBL1646095,0.5875,0.6,0.0322748612183951,0.0322748612183951,0.77+/-0.077
CHEMBL1646836,0.875,0.8,0.0,0.0,0.984+/-0.014
CHEMBL1648264,0.75,0.75,0.0,0.0,0.814+/-0.075
CHEMBL1655237,0.875,0.8571428571428571,0.0,0.0,0.983+/-0.023
CHEMBL1655239,0.5625,0.5,0.0,0.0,0.612+/-0.113
CHEMBL1664693,0.25,0.5,0.0,0.0,0.9+/-0.211
CHEMBL1681056,0.625,0.5833333333333334,0.0,0.0,0.86+/-0.054
CHEMBL1685193,0.875,0.875,0.0,0.0,0.985+/-0.006
CHEMBL1687410,0.9375,0.888888888888889,0.0,0.0,0.996+/-0.01
CHEMBL1687598,0.3125,0.3333333333333333,0.0,0.0,0.607+/-0.168
CHEMBL1763053,0.6875,0.6923076923076923,0.0,0.0,0.895+/-0.033
CHEMBL1767670,0.0625,0.0666666666666666,0.0,0.0,0.18+/-0.076
CHEMBL1769825,0.1875,0.2,0.0,0.0,0.685+/-0.189
CHEMBL1776383,0.4,0.4125,0.0322748612183951,0.0322748612183951,0.922+/-0.062
CHEMBL1776384,0.25,0.1818181818181818,0.0,0.0,1.0+/-0.0
CHEMBL1780676,0.9375,0.9090909090909092,0.0,0.0,0.948+/-0.018
CHEMBL1780832,0.9375,0.95,0.0,0.0,0.953+/-0.017
CHEMBL1788062,0.8125,0.8225806451612904,0.0,0.0,0.947+/-0.031
CHEMBL1794295,0.125,0.0869565217391304,0.0,0.0,0.218+/-0.118
CHEMBL1794318,0.1875,0.2105263157894736,0.0,0.0,0.336+/-0.104
CHEMBL1794398,0.1875,0.2,0.0,0.0,0.825+/-0.29
CHEMBL1794490,0.6875,0.6666666666666666,0.0,0.0,0.695+/-0.078
CHEMBL1803360,0.5,0.5555555555555556,0.0,0.0,0.686+/-0.134
CHEMBL1803361,0.375,0.5,0.0,0.0,0.8+/-0.258
CHEMBL1809301,0.4375,0.4615384615384615,0.0,0.0,0.809+/-0.157
CHEMBL1809762,0.25,0.1666666666666666,0.0,0.0,1.0+/-0.0
CHEMBL1816523,0.5,0.5,0.0,0.0,0.96+/-0.046
CHEMBL1816524,0.0625,0.125,0.0,0.0,0.95+/-0.158
CHEMBL1817497,0.5625,0.5,0.0,0.0,0.669+/-0.167
CHEMBL1821364,0.6875,0.7333333333333333,0.0,0.0,0.939+/-0.051
CHEMBL1832560,0.1875,0.2222222222222222,0.0,0.0,0.38+/-0.175
CHEMBL1837558,0.625,0.625,0.0,0.0,1.0+/-0.0
CHEMBL1913093,0.125,0.25,0.0,0.0,0.825+/-0.29
CHEMBL1925635,0.6875,0.6842105263157895,0.0,0.0,0.888+/-0.112
CHEMBL1930242,0.8125,0.8125,0.0,0.0,0.932+/-0.041
CHEMBL1932094,0.8125,0.75,0.0,0.0,0.811+/-0.158
CHEMBL1936050,0.5625,0.5454545454545454,0.0,0.0,0.647+/-0.057
CHEMBL1936053,0.0625,0.0303030303030302,0.0,0.0,0.038+/-0.006
CHEMBL1941610,0.5,0.5,0.0,0.0,0.582+/-0.155
CHEMBL1944125,0.75,0.7906976744186046,0.0,0.0,0.907+/-0.065
CHEMBL1953145,0.125,0.125,0.0,0.0,0.36+/-0.158
CHEMBL1959201,0.25,0.25,0.0,0.0,0.365+/-0.148
CHEMBL1960049,0.75,0.8181818181818181,0.0,0.0,0.95+/-0.087
CHEMBL1960329,0.8125,0.8333333333333334,0.0,0.0,0.867+/-0.051
CHEMBL1960332,0.25,0.3333333333333333,0.0,0.0,0.617+/-0.273
CHEMBL1960367,0.9375,0.8333333333333334,0.0,0.0,0.978+/-0.039
CHEMBL1961322,0.8125,0.7857142857142857,0.0,0.0,0.921+/-0.06
CHEMBL2014621,0.9375,0.9393939393939394,0.0,0.0,0.996+/-0.001
CHEMBL2014622,0.9375,0.9696969696969696,0.0,0.0,0.98+/-0.007
CHEMBL2015317,0.3125,0.2916666666666667,0.0,0.0,0.636+/-0.131
CHEMBL2015865,0.6875,0.6363636363636364,0.0,0.0,0.774+/-0.091
CHEMBL2019245,0.875,0.8823529411764707,0.0,0.0,0.914+/-0.049
CHEMBL2020129,0.6875,0.75,0.0,0.0,0.928+/-0.152
CHEMBL2021151,0.25,0.25,0.0,0.0,0.475+/-0.208
CHEMBL2033223,0.1875,0.125,0.0,0.0,0.326+/-0.138
CHEMBL2043755,0.5625,0.5555555555555556,0.0,0.0,0.842+/-0.055
CHEMBL2044326,0.25,0.275,0.0,0.0,0.422+/-0.103
CHEMBL2044336,0.4375,0.4074074074074073,0.0,0.0,0.676+/-0.087
CHEMBL2044552,0.9375,0.8333333333333334,0.0,0.0,0.75+/-0.052
CHEMBL2046046,0.4375,0.4736842105263157,0.0,0.0,0.788+/-0.076
CHEMBL2046228,0.875,0.8947368421052632,0.0,0.0,0.977+/-0.014
CHEMBL2061013,0.9375,0.9375,0.0,0.0,0.999+/-0.002
CHEMBL2061267,0.9375,0.9230769230769232,0.0,0.0,0.997+/-0.005
CHEMBL2061360,0.9375,0.9285714285714286,0.0,0.0,0.995+/-0.003
CHEMBL2072116,0.0625,0.1,0.0,0.0,0.483+/-0.293
CHEMBL2072118,0.125,0.0833333333333333,0.0,0.0,0.408+/-0.227
CHEMBL2072294,0.9375,0.9130434782608696,0.0,0.0,0.9+/-0.035
CHEMBL2148600,0.8125,0.7857142857142857,0.0,0.0,0.82+/-0.038
CHEMBL2150628,0.8125,0.8,0.0,0.0,0.974+/-0.038
CHEMBL2154555,0.875,0.9,0.0,0.0,0.857+/-0.055
CHEMBL2154557,0.5625,0.5555555555555556,0.0,0.0,0.82+/-0.144
CHEMBL2156781,0.75,0.7884615384615384,0.0,0.0,0.892+/-0.032
CHEMBL2162371,0.75,0.7586206896551724,0.0,0.0,0.856+/-0.098
CHEMBL2167912,0.5625,0.5,0.0,0.0,0.659+/-0.155
CHEMBL2183320,0.375,0.4210526315789472,0.0,0.0,0.594+/-0.091
CHEMBL2211264,0.875,0.8571428571428571,0.0,0.0,0.91+/-0.019
CHEMBL2211789,0.125,0.1538461538461538,0.0,0.0,0.508+/-0.192
CHEMBL2213258,0.6875,0.7391304347826086,0.0,0.0,0.799+/-0.055
CHEMBL2215267,0.3125,0.5,0.0,0.0,1.0+/-0.0
CHEMBL2317095,0.4375,0.4545454545454545,0.0,0.0,0.604+/-0.12
CHEMBL2319498,0.8125,0.7692307692307693,0.0,0.0,0.891+/-0.063
CHEMBL2320857,0.875,0.9047619047619048,0.0,0.0,0.873+/-0.033
CHEMBL2328235,0.875,0.9032258064516128,0.0,0.0,0.975+/-0.01
CHEMBL2328533,0.0625,0.0930232558139534,0.0,0.0,0.119+/-0.021
CHEMBL2330536,0.125,0.125,0.0,0.0,1.0+/-0.0
CHEMBL2341227,0.6875,0.6363636363636364,0.0,0.0,0.688+/-0.1
CHEMBL2349727,0.6875,0.6363636363636364,0.0,0.0,0.938+/-0.03
CHEMBL2350725,0.9375,0.8571428571428571,0.0,0.0,0.955+/-0.032
CHEMBL2351677,0.6875,0.6666666666666666,0.0,0.0,0.908+/-0.139
CHEMBL2353302,0.25,0.1666666666666666,0.0,0.0,0.85+/-0.242
CHEMBL2379584,0.375,0.4285714285714285,0.0,0.0,0.673+/-0.165
CHEMBL2388705,0.3125,0.2857142857142857,0.0,0.0,0.533+/-0.099
CHEMBL2390255,0.6875,0.5,0.0,0.0,0.7+/-0.258
CHEMBL2390645,0.625,0.6666666666666666,0.0,0.0,0.948+/-0.055
CHEMBL2395313,0.75,0.7333333333333333,0.0,0.0,0.917+/-0.032
CHEMBL2400390,0.5,0.4583333333333333,0.0,0.0,0.907+/-0.047
CHEMBL2400409,0.8125,0.8400000000000001,0.0,0.0,0.815+/-0.045
CHEMBL2404552,0.9375,0.9090909090909092,0.0,0.0,0.997+/-0.004
CHEMBL2404680,0.75,0.5,0.0,0.0,0.95+/-0.158
CHEMBL2405247,0.9375,0.9629629629629628,0.0,0.0,0.999+/-0.001
CHEMBL2405554,0.5625,0.5454545454545454,0.0,0.0,0.954+/-0.042
CHEMBL2405555,0.5625,0.5882352941176471,0.0,0.0,0.858+/-0.125
CHEMBL2405783,0.6875,0.6956521739130435,0.0,0.0,0.789+/-0.037
CHEMBL2410403,0.3125,0.25,0.0,0.0,0.575+/-0.367
CHEMBL2432161,0.25,0.2285714285714285,0.0,0.0,0.809+/-0.079
CHEMBL2434102,0.875,0.888888888888889,0.0,0.0,1.0+/-0.0
CHEMBL2439189,0.9375,0.9090909090909092,0.0,0.0,0.875+/-0.056
CHEMBL2439404,0.0625,0.1111111111111111,0.0,0.0,0.592+/-0.295
CHEMBL2439550,0.25,0.2,0.0,0.0,0.431+/-0.143
CHEMBL2439553,0.125,0.0666666666666666,0.0,0.0,0.148+/-0.084
CHEMBL2439555,0.0625,0.0588235294117647,0.0,0.0,0.269+/-0.144
CHEMBL2439741,0.9375,0.9333333333333332,0.0,0.0,0.931+/-0.029
CHEMBL2444082,0.5625,0.5238095238095238,0.0,0.0,0.823+/-0.079
CHEMBL2445761,0.4375,0.4680851063829786,0.0,0.0,0.961+/-0.02
CHEMBL2447603,0.125,0.25,0.0,0.0,1.0+/-0.0
CHEMBL3055209,0.375,0.3571428571428571,0.0,0.0,0.827+/-0.132
CHEMBL3057815,0.1875,0.2,0.0,0.0,0.555+/-0.393
CHEMBL3060860,0.125,0.25,0.0,0.0,0.592+/-0.295
CHEMBL3062734,0.5,0.4827586206896551,0.0,0.0,0.867+/-0.066
CHEMBL3063083,0.625,0.75,0.0,0.0,0.861+/-0.145
CHEMBL3067105,0.1875,0.2222222222222222,0.0,0.0,0.621+/-0.147
CHEMBL3069079,0.5625,0.5925925925925926,0.0,0.0,0.584+/-0.069
CHEMBL3073615,0.0625,0.1,0.0,0.0,1.0+/-0.0
CHEMBL3074007,0.5,0.5081967213114754,0.0,0.0,0.957+/-0.019
CHEMBL3078730,0.8125,0.8181818181818181,0.0,0.0,0.84+/-0.068
CHEMBL3088595,0.375,0.3888888888888889,0.0,0.0,0.575+/-0.135
CHEMBL3089774,0.25,0.2142857142857142,0.0,0.0,0.803+/-0.221
CHEMBL3094979,0.4375,0.4,0.0,0.0,0.925+/-0.121
CHEMBL3096264,0.1875,0.25,0.0,0.0,1.0+/-0.0
CHEMBL3100980,0.875,0.888888888888889,0.0,0.0,0.874+/-0.077
CHEMBL3116998,0.5625,0.5384615384615384,0.0,0.0,0.858+/-0.048
CHEMBL3117566,0.3125,0.3333333333333333,0.0,0.0,0.9+/-0.211
CHEMBL3122259,0.875,0.8829787234042554,0.0,0.0,0.949+/-0.027
CHEMBL3122511,0.3125,0.5,0.0,0.0,1.0+/-0.0
CHEMBL3122629,0.8125,0.7894736842105263,0.0,0.0,0.978+/-0.01
CHEMBL3122917,0.0625,0.1666666666666666,0.0,0.0,0.567+/-0.238
CHEMBL3123238,0.8125,0.8181818181818181,0.0,0.0,0.972+/-0.02
CHEMBL3123239,0.8125,0.8,0.0,0.0,0.869+/-0.085
CHEMBL3123721,0.3125,0.3333333333333333,0.0,0.0,0.71+/-0.213
CHEMBL3124021,0.125,0.1818181818181818,0.0,0.0,0.407+/-0.207
CHEMBL3124293,0.9375,0.888888888888889,0.0,0.0,0.905+/-0.058
CHEMBL3124294,0.6875,0.8,0.0,0.0,0.969+/-0.038
CHEMBL3128634,0.9375,0.9375,0.0,0.0,0.99+/-0.003
CHEMBL3128794,0.25,0.5,0.0,0.0,0.75+/-0.264
CHEMBL3128963,0.75,0.75,0.0,0.0,0.936+/-0.079
CHEMBL3129137,0.5625,0.5357142857142857,0.0,0.0,0.79+/-0.105
CHEMBL3129213,0.3125,0.3333333333333333,0.0,0.0,0.817+/-0.183
CHEMBL3129215,0.25,0.2619047619047619,0.0,0.0,0.748+/-0.083
CHEMBL3135563,0.75,0.75,0.0,0.0,0.9+/-0.119
CHEMBL3135839,0.4375,0.4,0.0,0.0,0.95+/-0.081
CHEMBL3227331,0.125,0.1818181818181818,0.0,0.0,0.629+/-0.141
